text_akhir,polarity
tolong admin youtube iklannya iklan video durasinya detik story anying menghabiskan kuota cepat memutar video iklannya tolong sistem youtube iklannya dikurangi kurangkan pemakaian data kuota terima kasih,negative
menemukan bug menonton double click skip detik geser jari skip detik detik anehnya skip secepat video tonton berjalan mengalami kecepatan cepatseperti fitur xspeed bug langka,negative
youtube nge bug ment loading youtube short macet jaringan bagus kualitas pakai updated kuota tolong diperbaiki,neutral
selesai update kena bug gara gara hpku nonton video mode full screne pakai fitur postingan video,negative
luuaarrr biaasssaa sekkaaliiseemua aplikasi manusia diakses mengetikselain hiburan menyenangkan dikala lagu stres pikiraninitnya aplikasi memoribel bagiku,negative
update ehh kacau bagus ganti nama keyboard muncul hilang muncul hilang terusga komen yt shortpas lihat yt short vidionya kebawah capt logo lagunya ketutup nyebelin pas akunbuat nonton vidio download eh kliknya hilang please youtube benerin update tuh bagus kacau,negative
emmmm apk bagus kadang kadang nyambung wifi sinyalnya sempurna kaya video muter muter gitu maksudnya kayak video kayak tulisan internet gitu bikin kesel dikit,negative
apdet dhmau buka layar hitam pencet bilngnya tunggu menit beh udh tunggu udh apdet buka tolong perbaiki dongohh kalok nonton buram mode buram sekian terima gaji,negative
aduuuh dark system nonton tibatiba keulang buruknya suka slide video pas nonton landscape fitur slidenya hapus opsi pilihan biar dibiarkan butuh menonaktifkan,neutral
bug perbaiki emang bodo bug dimana nonton video iklan selesai nonton iklan video nonton framedrop fps pas nonton short dimana scroll iklan muncul langsung scroll lihat detik video short stuck loading permanen short nonton video tetep stuck normal restart youtube,positive
buruk mengecewakan youtube iklan keyboard pencarian bertahan mentonton video mengupload video video terhambat sinyal buruk mengulang menit sinyal buruk turun kehabisan data kuota bug yt shorts menonton video shorts layar hitam fc hp mumpuni,negative
buruk update dimana filter memperbesar layar scroll jarimunculkan iklan deh iklan eh muncul pas nak memperbesar layar sub error al unlimited youtube telkomxlaxis anjing kecewa berat pakai android,negative
masuk yt masuk beranda langsung masuk shorts video otakatik gitu mencari channel orang upload kadangkadang si video ngecrash si gambarnya kaya tv rumek kualitas bagus oi developer tolong perbaiki youtube nyaman dipakainya,negative
yt update bug bug terperbaiki komentar nge stuck bug terperbaiki versi ternganngu fitur komentar short fitur komen postingan video tombol jeda tolong update yt,positive
youtube bugnya add playlist pas nulis tulisan hilang nonton durasi detik request adakan fitur sort z add playlist adakan fitur blokir tulisan gambar detail komentar spam ai bot muncul,negative
mode hemat data buka livestreamvideo diatur kualitas videonya biar habis kuota mode hemat data langsung p namanya mode boros data videonya hitam gambar suara,negative
yapaplikasinya bagus bug alamin asyik nonton video tibatiba layar youtube hitam ngelakuin apaapa youtube masuk entahlahaku bug pas mencet video pengen perbesar layarnya tolong diperbaiki bugbug bay,negative
yt skrg resolusi video shorts aneh pengguna internet kartu sim kuota dihemat terganggu penetapan resolusi nonton shorts tampilkan resolusi p p pengguna internet kartu memakan kuota ubah pengaturan resolusi jaringan seluler wifi ubah penghemat data tetapkan resolusi kuota jebol tolong perbaiki terima kasih,positive
bug layar video patahpatah full screen pinggir layar video rusak gap komentar balasannya mengganggu pengguna dark theme menu tulisannya kontras susah dibaca contoh melaporkan komentar menunya terbaca muncul tombol mengirimnya,negative
fitur ditingkatkan fitur memblokir pengguna banget spammer pencuri konten copycat bermunculan komentar relevan merekam mencuri konten tolong fitur memberitahu kreator konten lagu memiliki copyright kreator lagu bebas dipakai bingung terkadang pelanggaran copyright muncul merepotkan,positive
kasih bintang karenaterlalu bug masuk akal skip iklan eh iklan doubleterus sendiridan pencet muncul laintolong banget dibenerin kasih bintang,negative
perbaiki youtube masuk app video diputar otomatis klik nonton putar otomatis berandanya apa-apa langsung muncul video main masuk trus klik menurutku ganggu banget,negative
iklan aplikasi durasinya x aplikasi nonton notabene boros kuota ditambah iklan durasi x mengganggu gamau lihat iklan premium kesannya memaksa user berlangganan,negative
yth langganan yoetube premium seharunya iklan skrg tanggal maret iklannya pembayaran langganan terpotong pulsa update premium kena potongan langganan iklan tanda premium mohon perbaikan dlm bayar double gitu udh kali registrasi premium dlm sebulan uang iklan,positive
susah penelusuran kayak cari video pas shortsscroll berubah topik videotidak sesuai cari putar video harap perbaiki nyaman memakainya sekian terima kasih,positive
komentar video short fitur timbol terjemahan bahasa asing akun akun teman muncul hilang membuka youtube bantuan tws audionya suaranya efek menggema mengganggu pikir tws koneksi bluethoot bermasalah dicek aplikasi efek suara menggema,negative
bug aplikasi youtube memundurkan video video berhenti video berjalan jaringan bagus youtube short glitch mengganggu video nyaman tonton restart ulang instal ulang aplikasi youtube berpengaruh tolong perbaiki bug penonton nyaman,negative
bug semenjak hp riset pas nyarisearch video ketemu nonton langsung loading banget gabisa tonton wifi rumah isi pas relog tb kaya kosong gd video sm dibawahnya kaya shortvideo andavideo download pas matikan ulang cm berkali tolong perbaiki terima kasih,positive
tlg perbaiki mengubah mode landscape video tiba² berhenti dn teruskan relog aplikasi tampilan video diperkecil menghilang fitur premium berpengaruh aplikasinya rasis pengguna telkomseltidak ber wifi memakai wifi histori muncul wifi dinonaktifkan histori langsung hilang pakai kartu telkomsel baik² rasis,positive
youtube update bug patahpatah pas lihat video normal loading youtube terkena bug wifi bagus komentar menghilang youtube error fix tolong perbaiki,negative
tolong diatasi layar youtube gelap memutar video muncul suara layar gelap logo channel iklan bar muncul mengganggu kenyamanan berkali kali hapus cache,negative
bagus tolong youtube upload video short layar gedein kadang bikin editan gambar masuk frame terhambat upload video tolong bantuan youtube,negative
app ny udh bagus cmn bug banget ganti akun youtube tulisan youtube menanggapi komen trus tiba² keyboard ngebug g muncul trus udh pencet² kolom chatnya g tiba² appnya nonton suka bngt tiba² ngelag vid tiba² berhenti vid tolong youtube memperbaiki bug² komen spam judi youtube mohon tindak lanjuti terima kasih,negative
iklan game aplikasi tampilan play store dihilangkan kecuali youtube melewati iklan menyebalkan iklan selesai video disetel ngelag layar hitam suaranya tolong perbaiki,negative
kali muter video youtube sinyal wifi lancar kenceng video stuck loading uwer² scroll beranda lancar buka pencarian cari giliran klik videonya ditonton device kepenuhan penyimpanan hapus kosong buka youtube play video delay yah tolong,negative
bug gajelas berat logis asik nonton tibatiba hp ngelag trus ngecrash youtubenya parahnya hp blank terusmenerus home screen bngkk kadang nonton tibatiba lag durasi videonya ngulang dr kadang download video stuck pas jaringannya lambat alhasil hapus jalan ditambah skrg udh lihat channel sub orang berat app gajelas,positive
youtube bagus pengen nonton menit muncul iklan iklan video berdurasi belasan menit giliran pause iklan muncul samping pencet iklannya muncul samping sengaja masuk websitenya pas youtube video terulang nge crash update shortsnya pelanginya mata duitan niat,negative
bug kadang aplikasi youtube kuat bikin video aplikasinya trus masuk videonya masuk draf apa-apa aplikasinya bagus seru sayangnya hp mu kentang kuat bikin video youtube ngefrezze trus video masuk draf ulang videonya kayak gitu nga aplikasi youtube bagus perfect kontent farm youtube tolong diperbaiki,negative
youtube terhormat settingan tampilan klik video langsung automatis layar penuh sungguh nyaman video sarankan mohon ubah sediakala,positive
mundurin video gabisa deh keputer videonya lancar jaringan bagus pas mundurin menit pauselag gabisa diputer youtube lancar bug diperbaiki,positive
sistemnya tolong perbaiki history menonton short menghapus video short langsung hilang penayangan terkait reload lebik sperti seblumnya² bis sistem history tlong kembalikan sperti sblumnya biar ribet mnghapus skrng bagus skli,negative
halo youtube membuka aplikasi hitam video durasi detik menit putar ads ads menggangu youtube,negative
aplikasi bugnya anj pas iklan transisi layar hitam muncul iklan stuck layar hitam vidionya tetep play layar hitam aplikasi cacat youtube,negative
selesai iklan memundurkan video terlewatkan kadang bug dimana dibatasi detik kebelakang selebihnya play solusinya close tonton ulang merepotkan mencari tayangan terlewatkan,negative
mohon bantuannya dev knapa komentar langsung video short balas komen komentar video amanaman ohh upload video short langsung youtube potong video youtube upload yt studio potong versi yt deh update terbaru device redmi hp satunya redmi,positive
update bug perbaikan bug muncul youtube versi kebawah minim bug iklan komen judol diurus komen melanggar aturan gampang banget hilang premium doang digembor gemborkan apk diurus persaingan,negative
semenjak updateyt error smua vidio ditonton nge crash penyimpanan bagus ngelag macetsangat menyusahkan,negative
youtube bug salah satunya menonton video download suara videonya terputar nge lag parah menutup aplikasi menonton offline tolong perbaiki tolong sistem tayang short sesuai vidio short relavan muncul scrol,negative
membuka aplikasi youtube video terputar otomatis mengganggu menghapus salah video short history video short disampingnya hilang tulisan penayangan video hapus history refresh video samping muncul tolong perbaiki,negative
muncul video short posisi video hasil pencarian youtube tonton video video short posisi capek capek scroll cacat,negative
pencarian youtube berguna konten kali diluar konteks uang hubungannya video rekomendasi muncul mencari cari sulit yt shorts menjengkelkan video videonya menutupi video pilihan video kerap kali pilihan tolong perbaiki,positive
algoritma youtube buruk mencari menonton video rekomendasi beralih topik relevan fitur pencarian akurat kali menampilkan video sesuai kunci mencoba filter menghapus riwayat tontonan hasilnya membaik tolong perbaiki sistem rekomendasi pengguna konten benarbenar butuhkan,negative
youtube bug nonton iklan iklannya skip sehabis skip video asli tonton iklan gabung jdinya hapus youtube history,negative
tolong aplikasi bug buka langsung deh coba buka youtube chrome aplikasi youtube tolong tim pengembang tolong perbaiki menggangu trimakasih,negative
tolong fix bug meresahkan banget salah bug pas lihat komenan kosong tulisannya komennya pas gada relog hilang lagii bug tolong youtube fix,negative
pengen banget yutub fitur tahan geser teks subs terjemahan biar lihat tulisan bahasa induk nonton reality show gitu nyaman belajar huhu trus coba pausenya diklik layar langsung kepause gitu biar layar transparan hitam mengganggu pandangan,positive
ntah akhirakhir pemakaian internet boros pemakai internetdata seluler wifi ngerasa banget diisi data internetnya nonton menitan hilang gb provider internetnya bermasalah sumber penyebabnya youtube kecewa berat menyaingi user wifi nonton ketakutan habis internet,negative
youtube bagus bug parah bug vidio jangka menonton menit tiba² layar hitam black layar bug aplikasi upgrade upload lambat menguras gb hri youtube tonton berjam jam bug parah bug androidhardwareaudio hwbinder,negative
suka aplikasi youtube bug bug memencet tambahkan komentar video short youtube berulang kali mohon memohon bug dihilangkan ok sekian ulasan,positive
layar full hitam nonton video loading iklan kunjung selesai logo iklannya muncul ganggu nonton video iklannya ganggu bug nonton video berjam jam loading,negative
bagus kadang desk pencarian dicari munculmuncul trus muncul layar g penuh layar kayak kebawah caption sound channel tolong perbaikannya,negative
lag aplikasinya memutar video layar hitam sisi survei iklan iklannya nyaman spam berkalikali kayak situs web bajakan,negative
pengalaman aplikasi akhirakhir bug komentar seringkali error munculnya video memainkan ulang stamp mohon youtube memperbaiki bug kenyamanan pengguna terima kasih,positive
aneh errornye daritadi nonton video gk bilangnya konten tersedia harap tunggu gitu normal gk kadang nonton short bideony ngefreeze dn error melulu trus nonton patah layarnya diperbaiki lagidong bugny video gk diputer,negative
aplikasinya jelek banget mendownload video diaplikasi beralih aplikasi video didownload terdownlod ditambah error aplikasi menyenangkan,negative
menemukan bug bug lumayan perbaiki mohon cepat perbaiki bug tampilan video short buruk layar tv rusak berwarnawarni kualitas buram memakai wifi kekuatan sinyal kuat mode kualitas otomatis,positive
update april kali buruk karana iklan suara tibatiba hilang vidio iklan video shots nyaman beranda shorts subscribe hilang menggesernya kebawah saran mohon mengerti bertanggung sekian terima kasih,negative
menonton live stelan kualitas video sepeti konten atur penghemat data video konten maksimal kualitas video live pakai setingan penghemat data kualitas videonya setingan otomatis penghemat data,positive
youtube ngebug sdh menonton pakai youtube sdh masuk aplikasinya berulang kali masuk layarnya warna hitam sdh masuk menonton videovideonya loading jaringan bagus data semoga youtube cepat diperbaiki,negative
koneksi internet coba bersihkan cahce memori terbuka force close ayolah youtube bugnya permasalahankan diakses,negative
bintang youtube bermasalah jaringan internet bagus patah patah tolong perbaiki gangguan youtube bagus oh maaf bug sulit berkomentar,negative
bugnya hapus video download ukuran ngurang buka aplikasi tibatiba video keputer rewind video iklan ditengah tutup ulang sampah,negative
menemukan bug dimana membuka youtube video otomatis diputar menyentuhnya bug mengganggu seakan dipaksa menonton video beranda menklik video mohon fix,negative
membuka aplikasi youtube aplikasi youtube memutar video format fullscreen user experience buruk user memilih video tonton dipilihkan aplikasi,negative
apk bgus edukasi diperangkat menonton video ditengah video ngeblank kmbali kelayar utama kesalahan apkerror perangkat error ketemu dmn,negative
suka susah susah ngedit tinggal nambahin mata kepala pindahin capek capek ngedit kadang selesai tinggal besok simpen draf eh hilang bug habis kadang lihat like jadiiiii tolong perbaiki,negative
tolong perbaiki bug menonton video cahaya abu abu disamping kiri kanan menganggu kenyamanan menonton mematikan fitur mode pencahayaan sinematik hilang pencahayaan sinematik tolong banget min orang nonton,negative
bug layar pop video terpotong horizontal blank hitam terjemahan komentar default bahasa estonia settingnya bayar premium kualitasnya jelek,negative
video hasil unduhan diputar offline menampilkan deskripsi judul bagus versi lengkap judul deskripsi pakai vpn hasil unduhan terbaca,negative
mengupdate aplikasi bug berubah mode full screen full screen tibatiba layar potong aplikasi normal mohon perbaiki aplikasinya,negative
tab pilihan menunya balikin biar dibawah sumpah nyaman tolong scroll langsung hilang scroll keatas muncul menunya lihat short titlenya dipercepat diperlambat gitu videonya,positive
kesini lihat video lihat iklan musik tengahtengah lagu muncul iklan iklan muncul pas asalan biar dinikmati ti cari aplikasi cari video,negative
jaringan bagus resolusi video ditetapkan youtube membatasi pilihan maksimal p video tonton pilihan resolusi p nyaman user keleluasan menentukan pilihannya sekedar resolusi video,positive
aplikasi berguna bermanfaattetapi bug muncul tibatibatapi bagusnya video lengkapdan video dance pokoknya aplikasi seru terhiburwalau adabug mengganggu tetapisaya suka aplikasi terimakasih aplikasi youtube,negative
youtube update bug kolom komentar update tulis komentar balas komentar komentar balasan komentar muncul deh gitu iklan membrutal durasi menganggu kenyamanan buruk,negative
youtube layar hijau remix video shorts orang camera berfungsi video gambar wajah camera instagram tiktok berfungsi yaaa,positive
kebanyakan iklan iklan video pertengahan video video yt eror akibat iklan memutar video loading lancar perbaiki,negative
tolong diperbaiki min youtube ngebug habis iklan langsung suaranya pas scroll video iklan kaya gitu melulu suaranya tolong youtube blokir situs iklannya youtube nonton video nonton iklan,positive
terganggu fitur rekomendasi video muncul detikdetik menonton youtube kali video selesai muncul kotak rekomendasi menutupi layar menikmati video harap youtube opsi menonaktifkan fitur pengguna menginginkannya mohon perbaiki tambahkan pengaturan mematikan end screen terima kasih,negative
pesan tim pengembangan sekian iklan transisi fade video iklan fitur meningkatkan kenyamanan menonton meningkatkan apresiasi tim,negative
menonton youtube short kali bug subtitle otomatis fitur berguna vidionya donwload memilih opsi fitur disayangkan,positive
suka nonton youtube suka ngebug makan iklan banget gini jengkel suaranya suka hilang suaranya hilang iklan muncul tolong aplikasinya dibenerin halhal gini bikin orang gampang kehilangan minat nonton youtube,positive
meng kritis youtube mengalami bug disaat nonton youtube loading banget wifi lancar lancar loading bug perbaiki meng kritis,negative
masuk youtube keputar video otomatis short video recomended update bagus tambahkan update like komentar,negative
tampilan short engga full kayak bug layarnya geser keterangan video shortnya g tarik dont know g salah pengaturan youtube,negative
tolong perbaiki dongmasa youtube g lihat drama sss g kali pencet aplikasi youtube loading alasan youtube diperbarui youtube gk masuk loading tolong perbaiki lihat drama lain-lain youtube g versi hp masak g bisaa pliss benerin org perbarui alasan berbeda,negative
mendownload playlist bug vidio patah² buka downloadtan video puncak loding berjam² kunjung tolong youtube perbaikilah bug tolong youtube tolong,neutral
sebulan youtube muncul tanda loading disetiap videonya sinyal jaringan bagus kadang app gakbisa dibuka app dibuka jelek banget pokoknya,negative
youtube memasuki iklan layar hitam youtube dijalankan satunya youtube berjalan normal aplikasi hapus riwayat pengguna nyaman device poco f,negative
tolong yah fitur video floatingmelayang pas swipe video dihilangkan ribet nyusahin kalah close videonya kepencet pakai versi full layar uninstal update buka aplikasinya dipaksa instal update melulu,negative
sihh youtube menonton video lag koneksi bagus coba handphone ngelek wifie kouta tolong perhatikan kasih pengatur kualitas video short koneksi si bagus burik,negative
aplikasi seru banget bikin konten monmaaf bug tolong dihilangkan bikin konten tibatiba tolong bug dihilangkan yah,negative
menarik mohon diperbaiki bug livestreaming dimana separuh balok menutupi separuh layar landscape bug komen short mohon diperbaiki,negative
tube mendukung jaringan wifi memakai wifi senang wifi sinyal wifi bagus bermain mobile legend buka chrome lancar wa lancar tube kali ganti video berputar putar download play store,positive
menemukan bug youtube dimana buka komen spesifik section komen posting youtube berbentuk foto buka reply komen orang bermasalah ditekan like dislike tombol komen ketimpa tombol recent home back mohon diperbaiki,positive
menyukai aplikasi jarang iklan komersil jam ketemu iklan komersil membenci aplikasi membuka video channel berbeda iklannya mencari lagu lagu selera jengkel muak harap aplikasi bagus iklan komersil youtube bangkrut ulahnya,negative
halo youtube kelihatanya youtube uda youtube kaya ngekres video buka membuka scrol bawa mala muncul sinyal putar video pertamanya tolong perbarui youtube chat live buka menyeramkan memperbaiki terimakasih,neutral
memutar video detik video sinyal lancar lancar detik mutermuter melulu udh coba restart mode pesawat nyalain hapus aplikasi install anehnya menonton short lancar selesai,negative
kasih bintang kendala dimana ukuran layar full tombol masuk tertutup komentar hilang berkomentar dichannel orang lainmasa hilang terhapus otomatis sekian,negative
bug dimana komentar short ketutupan tombol hp pas komen komentar gk diatas tombol close hp kecewa short video cuman scroll cuman jam ngefreeze video hadeh kurangin bintangnya,negative
suka pembaruan tampilan video hapus histori berbeda hapus video langsung terhapus kembalikan,neutral
youtube gambarnya rusak gitu warna gk update yt deh uninstal trus update tetep deh refresh hp bersihin sampah hapus file gk tetep rusak kayak rusak gitu warna gk menutupi video gk bnr,negative
mewakili aplikasi bug fitur bawa layar tontonan youtube layar beranda utama ngaktifinnya butuh butuh butuh banget berguna muncul perbaiki bug bug,negative
bae bug gajelas bat youtube jelek pas nonton video mode landscape rusak hancur kasih rekaman bugnya perbaikij hancur bat nonton youtube,negative
youtube putarbersih chace versi terbaru restart jaringan wifi data respon buffering youtube music berhenti solusinya youtube bermasalah lihat keluhan kayaknya bermasalah ufo sinyal,positive
tolong youtube bug perbaiki youtubenyaaplikasinya pencet pencet samangejem youtubeaplikasinya tolong youtube memperbaiki aplikasi nyayoutube,negative
kenpa nonton video lagu volleyselalu muteryg lancar jayajaringan ok nonton video sukaan,positive
youtube aneh update mengubah fitur didalam aplikasinya memudahkan menyusahkan lag bug glitch susah mengunakan youtube,negative
menonton video video short pause video online video offline download youtube music ayolah youtube mohon didengar,positive
bugnya ngk perbaiki yt nonton live streaming keseringan live patah patah nyendat nyendat gitu masuk masuk apk yt live normal perbaiki donk gini terusbikin males nonton yt,negative
channle dibe²rapa update terkadang mengganggu bug jarang dapatkan orang sebalikkebalikannya jarang terganggutidak bug berpendapat sharana update be²rapa orang terganggu update,positive
jelek banget dh pas nonton yt asik tbtb iklan muncul bbrp detik giliran dh muncul iklan ngalangin lambang home short subscripiton giliran cri video bagus relog relog kehalang sm apk iklannya tolong difix males nonton yt gini,negative
nonton video resolusinya p p p p p pas pilih p resolusinya ganti cuman p p p yak p p hilang nonton make resolusi hd banget kejadian kayak gini nonton video milih resolusinya ganti p ganti p habis ganti,neutral
nonton live tibatiba muter muter sinyal sinyal bagus orang maklum orang muter tolong kadang asik nonton muter muter kouta sinyal lancar muter,positive
aplikasi bagus pas buka langsung arahkan youtube shorts membuka youtube shorts membuka youtube mendengarkan musik menonton alur cerita bikin malas pas membuka langsung mengarah shorts aneh,negative
terganggu dubbing youtuber suara ai setuju suara youtuber dubber kasih bahasa indonesia nyaman bahasa terganggu tolong rekomendasi menyalakan dubbing langsung dubbing nyaman,positive
gatau salah deviceku emang youtubenya kadang eror kayak icon bar kayak home subscribtion short suka muncul pas nonton video suara videonya delay kadang videonya warnanya hitam putih,negative
youtube burik aneh bug video kepause sinyal bagus diupdate bug brengsek edit bug mengedit nama ngeglicth diketik nama barunya menyebalkan ubah nama pakai ngeglicth rating dasar youtube burik ngetik direspon wuuuuuu,negative
youtube update parah sihsetiap nonton video crashkalok gk dipertengahan video gk video kalok crash diulang nontonyakalok kayak gini siapnya nontonin tu video kalok ngulang melulubahkan video didownload begitugk deh aplikasiharapannya semoga cepat perbaiki dehmuak banget kalok kayak gini,negative
menemukan bug youtube dimana buka komen spesifik section komen posting youtube berbentuk foto buka reply ny komen orang bermasalah bawahsehingga ditekan like dislike tombol komen ketimpa tombol recent home back mohon diberbaikan,positive
bug alami update app susah buka jalan kluarnya uninstall install youtube update terbaru mohon developer menangisi memaksimalkan terimakasih,positive
iklan nonton video durasinya banget tibatiba iklan mengganggu fitur pencarian akurat dicari beda,negative
tips nonton youtube nonton diaplikasi cuman mutermuter ngeplay videonya pakai browser browser bawaan mutermuter pas coba ngeplay video download browser tambahan opera browser apapun kompatibel hpperangkat semoga membantu,positive
mohon youtube mode video short video short udh terulang kali diusahakan video tsb pause nnti pemilik hp langsung sadar video tsb habis scroll,positive
aplikasi ngelag aplikasi minggu update melulu fiks apamakin ngelag patahpatah mengerti perkembangan youtube sekarangsaya titik nyaman rom ram hp,negative
aplikasi tibatiba freeze screen alami tolong youtube bugbugnya dihapuskan menganggu pengguna,negative
suka pakai youtube online ampun nge lag update nge lag tolong perbaiki nyaman banget nonton vidio onlineyg download kasih bintang,positive
premium pembayaran error saldo dibutuhkan metode pembayaran coba mencoba akun error berkalikali coba kurun tolong perbaiki,negative
update mutar video patahpatah sinyal bagus pakai wifi patahpatah sinyal wifi bagus tolong diperbaiki kenyamanan penggunanya,positive
youtube tolong perbaiki bug dimana ngubah audio track sulih suara bahasa ngubah video short bug bug mengganggu,negative
